corpus,stage,engine,preset,elapsed_sec,ocr_total_sec,translate_median_sec,gpu_peak_used_mb,quality_band,quality_gate_pass,geometry_match_recall,geometry_match_precision,non_empty_retention,ocr_char_error_rate,ocr_word_error_rate,page_p95_ocr_char_error_rate,overgenerated_block_rate,page_failed_rate,page_failed_count,gemma_truncated_count
japan,tuning:expansion_percentage,MangaOCR + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-mangaocr--gemma-exp3.json,315.309,8.909,7.247,11972,hold,True,1.0,0.9967,1.0,0.2731,0.2731,0.3361,0.0033,0.0909,2,6
japan,tuning:expansion_percentage,MangaOCR + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-mangaocr--gemma-exp5.json,242.054,7.582,6.888,11980,conditional,True,1.0,0.9967,1.0,0.1457,0.1457,0.3361,0.0033,0.0,0,0
japan,tuning:expansion_percentage,MangaOCR + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-mangaocr--gemma-exp7.json,240.715,7.608,6.516,11977,conditional,True,1.0,0.9967,1.0,0.1493,0.1493,0.2903,0.0033,0.0,0,0
japan,tuning:parallel_workers,PaddleOCR VL + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-paddleocr-vl--gemma-pw4.json,765.686,446.639,9.571,11981,ready,True,1.0,0.9967,1.0,0.0603,0.0603,0.1452,0.0033,0.0,0,0
japan,tuning:parallel_workers,PaddleOCR VL + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-paddleocr-vl--gemma-pw8.json,873.605,460.093,13.262,11988,ready,True,1.0,0.9967,1.0,0.0603,0.0603,0.1452,0.0033,0.0,0,0
japan,tuning:max_new_tokens,PaddleOCR VL + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-paddleocr-vl--gemma-mnt512.json,821.225,454.653,12.477,11982,ready,True,1.0,0.9967,1.0,0.0608,0.0608,0.1452,0.0033,0.0,0,0
japan,tuning:max_new_tokens,PaddleOCR VL + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-paddleocr-vl--gemma-mnt1024.json,848.605,455.018,13.738,11983,ready,True,1.0,0.9967,1.0,0.0603,0.0603,0.1452,0.0033,0.0,0,0
japan,tuning:max_concurrency,PaddleOCR VL + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-paddleocr-vl--gemma-conc16.json,763.153,445.214,10.374,11978,ready,True,1.0,0.9967,1.0,0.0603,0.0603,0.1452,0.0033,0.0,0,0
japan,tuning:max_concurrency,PaddleOCR VL + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-paddleocr-vl--gemma-conc32.json,774.207,446.715,11.141,11981,ready,True,1.0,0.9967,1.0,0.0603,0.0603,0.1452,0.0033,0.0,0,0
japan,tuning:gpu_memory_utilization,PaddleOCR VL + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-paddleocr-vl--gemma-vram080.json,866.385,459.265,13.724,11979,ready,True,1.0,0.9967,1.0,0.0603,0.0603,0.1452,0.0033,0.0,0,0
japan,tuning:gpu_memory_utilization,PaddleOCR VL + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-paddleocr-vl--gemma-vram084.json,874.572,446.729,13.662,11990,ready,True,1.0,0.9967,1.0,0.0603,0.0603,0.1452,0.0033,0.0,0,0
japan,tuning:crop_padding_ratio,PaddleOCR VL + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-paddleocr-vl--gemma-crop002.json,857.292,449.569,15.15,11988,ready,True,1.0,0.9967,1.0,0.0617,0.0617,0.1379,0.0033,0.0,0,0
japan,tuning:crop_padding_ratio,PaddleOCR VL + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-paddleocr-vl--gemma-crop005.json,840.012,443.608,12.907,11991,ready,True,1.0,0.9967,1.0,0.0603,0.0603,0.1452,0.0033,0.0,0,0
japan,tuning:parallel_workers,HunyuanOCR + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-hunyuanocr--gemma-pw1.json,392.906,59.68,10.011,11958,conditional,True,1.0,0.9967,1.0,0.177,0.177,0.3231,0.0033,0.0,0,0
japan,tuning:parallel_workers,HunyuanOCR + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-hunyuanocr--gemma-pw2.json,317.922,44.827,8.53,11952,conditional,True,1.0,0.9967,1.0,0.177,0.177,0.3231,0.0033,0.0,0,0
japan,tuning:parallel_workers,HunyuanOCR + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-hunyuanocr--gemma-pw4.json,330.576,44.764,9.97,11972,conditional,True,1.0,0.9967,1.0,0.177,0.177,0.3231,0.0033,0.0,0,0
japan,tuning:max_completion_tokens,HunyuanOCR + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-hunyuanocr--gemma-mct128.json,360.58,47.703,9.029,11969,conditional,True,1.0,0.9967,1.0,0.177,0.177,0.3231,0.0033,0.0,0,0
japan,tuning:max_completion_tokens,HunyuanOCR + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-hunyuanocr--gemma-mct256.json,412.328,61.436,12.02,11956,conditional,True,1.0,0.9967,1.0,0.177,0.177,0.3231,0.0033,0.0,0,0
japan,tuning:n_gpu_layers,HunyuanOCR + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-hunyuanocr--gemma-ngl80.json,365.806,51.803,10.757,11972,conditional,True,1.0,0.9967,1.0,0.177,0.177,0.3231,0.0033,0.0,0,0
japan,tuning:n_gpu_layers,HunyuanOCR + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-hunyuanocr--gemma-ngl99.json,334.053,42.984,9.535,11962,conditional,True,1.0,0.9967,1.0,0.177,0.177,0.3231,0.0033,0.0,0,0
japan,tuning:crop_padding_ratio,HunyuanOCR + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-hunyuanocr--gemma-crop002.json,358.915,38.615,7.991,11955,hold,True,1.0,0.9967,1.0,0.3147,0.3147,0.4648,0.0,0.0455,1,4
japan,tuning:crop_padding_ratio,HunyuanOCR + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-hunyuanocr--gemma-crop005.json,348.938,49.421,10.004,11954,conditional,True,1.0,0.9967,1.0,0.177,0.177,0.3231,0.0033,0.0,0,0
japan,tuning:retry_crop_ratios,PPOCRv5 + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-ppocrv5--gemma-retry0306.json,302.009,54.026,6.071,11976,catastrophic,False,1.0,0.9967,0.988,0.6281,0.6281,0.8889,0.0033,0.0,0,0
japan,tuning:retry_crop_ratios,PPOCRv5 + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-ppocrv5--gemma-retry0610.json,319.387,52.807,6.677,11974,catastrophic,False,1.0,0.9967,0.9799,0.629,0.629,0.9195,0.0033,0.0,0,0
japan,tuning:crop_padding_ratio,PPOCRv5 + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-ppocrv5--gemma-crop002.json,322.735,53.61,6.879,11968,catastrophic,False,1.0,0.9967,0.988,0.6598,0.6598,0.9394,0.0033,0.0,0,0
japan,tuning:crop_padding_ratio,PPOCRv5 + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-ppocrv5--gemma-crop005.json,317.134,56.225,7.232,11952,catastrophic,False,1.0,0.9967,0.988,0.6281,0.6281,0.8889,0.0033,0.0,0,0
